path,class_name,class_index,source_group,split,sha256
araxys/Araxys Bio Harvester.png,araxys,9,araxys/named:araxys bio harvester,val,110679344fdf10fb541fd49c93a9da0580650468ecf687e1f989fdda6edcaa54
araxys/Araxys Bio-Atomizers.png,araxys,9,araxys/named:araxys bio-atomizers,test,b85a5faeaf99507272da46b50132614f1d016158302529ffdb7b85bfce8c744c
araxys/Araxys Bulldog.png,araxys,9,araxys/named:araxys bulldog,val,ecaf1c8343cc4f07ed0d64ef4f6ec7e186fd5cc3291378c10654ac5e451de19c
araxys/Araxys Guardian.png,araxys,9,araxys/named:araxys guardian,val,fcbd9e06f3bbc39188a8ebd8e4beaa25c804294135a5d6cc7352fcb18cc9fbee
araxys/Araxys Operator.png,araxys,9,araxys/named:araxys operator,test,e7856b1bdc1d4deafbc3dec4f561808cc858f4eba35a40a72c27ea3751529aee
araxys/Araxys Outlaw.png,araxys,9,araxys/named:araxys outlaw,test,0ccee9c5f7afb2fb9d7199623b0e840d501a2a4d04e73072aee6dc0910a47a18
araxys/Araxys Phantom.png,araxys,9,araxys/named:araxys phantom,val,65a84cc6e01066afae12d4e30d776237e55f0715f7bea72fabc0aa6e1981cfee
araxys/Araxys Sheriff.png,araxys,9,araxys/named:araxys sheriff,val,3c2e135269481550f414ef3bc15f285dfe639fe6796fa6a525addc30d1f5214d
araxys/Araxys Shorty.png,araxys,9,araxys/named:araxys shorty,test,86b7d6acb5e314b0b5a456a21ec3d9368d727a4d41889c29d75c71c71c6726a1
araxys/Araxys Vandal.png,araxys,9,araxys/named:araxys vandal,test,c550ce089455edbca2140b52443de0be7881fc2dbf01a804fb5975ec8ddf2e42
araxys/araxys_00001.jpg,araxys,9,araxys/sequence:araxys,train,71bd05d4d0a60cb299af5bdcd16f955309a8fe0acf7bc24a8c42f98e0645f83a
araxys/araxys_00002.jpg,araxys,9,araxys/sequence:araxys,train,ac4bf9239022c281f186f7054fdb79b0404209c2fda2e50cf307b72663ee21c9
araxys/araxys_00003.jpg,araxys,9,araxys/sequence:araxys,train,64d1b9c1661fb56a0c2499a3f9de3d04dd1674f449cae06bcb4193c5640e9dc5
araxys/araxys_00004.jpg,araxys,9,araxys/sequence:araxys,train,320bee9312adcd88ae578158523cdedf3fe357e31c51801418e6330cc4c455a3
araxys/araxys_00005.jpg,araxys,9,araxys/sequence:araxys,train,bd3dad5658f12faef82c11273b8aac89f5395284742c1794741db563a688420f
araxys/araxys_00006.jpg,araxys,9,araxys/sequence:araxys,train,28331e010bc2a417ae42f0aa9be9a14fc09b3d2e131c07900a25c981310b7da9
araxys/araxys_00007.jpg,araxys,9,araxys/sequence:araxys,train,4e2535e5092345790e2749085f7eb4f293da7fa0729fbe41b791215f06923360
araxys/araxys_00008.jpg,araxys,9,araxys/sequence:araxys,train,614341ba4a25573b714ae39f701dc0c7f076c45f589940eca45d8bc06d55405f
araxys/araxys_00009.jpg,araxys,9,araxys/sequence:araxys,train,d77f0ce7e95e13996d20d889d9ad09d3e229267437ddfe5ad535cf4352749092
araxys/araxys_00010.jpg,araxys,9,araxys/sequence:araxys,train,9ca4ad9fb032d9d4f81a91d401e65ce67bb9d00d79b8a49ee28a9154f8592dc1
araxys/araxys_00011.jpg,araxys,9,araxys/sequence:araxys,train,aa64fb48763fd80f2e0f1d48bc4267a3d2bbbd01eff540b8acc8649138ab7f66
araxys/araxys_00012.jpg,araxys,9,araxys/sequence:araxys,train,e0a31a8cb68e69769b00243f8c1b35a1c739490f27d6d3ae214ce8ceac98d24f
araxys/araxys_00014.jpg,araxys,9,araxys/sequence:araxys,train,226c7958da7f0dd2e74d086b9f76b3c4314ba3bc06aef5b2743137545e9d53ab
araxys/araxys_00015.jpg,araxys,9,araxys/sequence:araxys,train,b179c0b30c9ca57e12eadbf3184705e9016ca0776bc5f04df3054b92497f80a4
araxys/araxys_00016.jpg,araxys,9,araxys/sequence:araxys,train,f83354703c2818aaf921bd38b9ae7d4aff4d4e8acffa40f236656b38e80807f9
araxys/araxys_00017.jpg,araxys,9,araxys/sequence:araxys,train,7d3cb929b416e1dbfae3f1bedc5305e56802ec04e1e0320b71d96a30451bbf0a
araxys/araxys_00018.jpg,araxys,9,araxys/sequence:araxys,train,823b54cb299aa4e467f2a1bf24ad2a11d69e9be8429ac9f8cfafef0fbbf7d980
araxys/araxys_00019.jpg,araxys,9,araxys/sequence:araxys,train,0b701fe239df018d230d249496c338677f76366689a17498d4d1f5c7162b7209
araxys/araxys_00020.jpg,araxys,9,araxys/sequence:araxys,train,7a1800b9221b8388622697ffb217382d4e55b97a34f5174fc552ce1751aad2ec
araxys/araxys_00021.jpg,araxys,9,araxys/sequence:araxys,train,4ce84897312ab54bb7aae6a2e391687395b7fe8bb4eaa33bc2d039a745068b6a
araxys/araxys_00022.jpg,araxys,9,araxys/sequence:araxys,train,8b398903e0df9c0e5e552540b8e9da269effca1be29673292158f3893d3bab57
araxys/araxys_00023.jpg,araxys,9,araxys/sequence:araxys,train,1f366266a9bef041a59106d22f3a7bbb84e4d2241cdf9058d4bea53bdc396a0e
